WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030,WT2031,WT2032
40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612
40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612,40.33983612
3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799
3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799
3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799,3993.643799
40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372
40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372
40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372,40.92865372
4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676
4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676
4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676,4175.617676
2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252
2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252
2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252,2112.083252
342.5464172,342.5464172,342.5464172,342.5464172,342.5464172,342.5464172,342.5464172,342.5464172,342.5464172,342.5464172,342.5464172
